"StichtagDatJahr","ch_f","ch_m","aus_f","aus_m"
1971,11685,11214,6701,16152
1972,11261,11020,6961,16583
1973,10787,10677,6339,15468
1974,10902,10687,6223,15550
1975,10628,10784,4114,9061
1976,10269,10618,3428,7438
1977,10310,10790,3687,7226
1978,10296,10495,3865,7770
1979,9878,10539,3886,8724
1980,10017,10583,4356,10035
1981,10600,10868,4686,10833
1982,10608,10786,4907,10477
1983,10362,10801,5121,9955
1984,9691,10152,5218,9774
1985,10060,10807,5390,9819
1986,10411,10502,5774,10509
1987,10077,10193,5909,11655
1988,9629,9809,5910,11927
1989,8754,9168,5686,12254
1990,8581,8836,6352,12772
1991,8607,8991,7321,13773
1992,8362,8832,8053,11902
1993,7493,8416,8804,11084
1994,8353,9431,8655,10763
1995,8485,9577,8933,10366
1996,8348,9643,8682,10093
1997,8503,9634,8677,9706
1998,8853,9904,9535,10684
1999,8941,9765,10421,11246
2000,9057,10026,10305,11166
2001,8554,9407,10648,11365
2002,8173,8845,10783,11335
2003,7684,8453,10301,10359
2004,8031,8572,10918,11293
2005,8371,8960,11249,11750
2006,8098,8727,11996,12977
2007,8726,9344,13699,14782
2008,8068,8359,11885,13946
2009,7887,8207,11949,13043
2010,7932,8139,11991,13488
2011,7741,7937,12406,14471
2012,7665,7910,11618,13868
2013,8463,8679,12159,14298
2014,8144,8296,11697,14015
2015,8257,8543,11769,13904
2016,8372,8592,11438,13916
2017,8441,8737,11722,14454
