"StichtagDatJahr","ch_f","ch_m","aus_f","aus_m"
1971,13940,13862,6440,16747
1972,14073,13858,5913,15940
1973,14123,13643,5743,14832
1974,13032,12945,5993,15670
1975,11556,11530,5798,11197
1976,11515,11513,5002,8856
1977,11097,11052,4098,7856
1978,11266,11584,3634,7668
1979,11032,11670,3270,7935
1980,12691,12706,3593,9005
1981,12182,12268,3946,9547
1982,12225,12334,3980,8693
1983,11920,11981,4806,8674
1984,10203,10829,4941,9677
1985,11266,11475,4971,9278
1986,10633,10934,4905,9432
1987,11082,11225,4968,10051
1988,10704,10934,4832,10282
1989,10245,10425,4932,10535
1990,9797,9930,4941,10138
1991,9284,9234,4959,9786
1992,9567,10027,6489,11535
1993,9359,9756,6968,9655
1994,9539,9962,7316,9731
1995,9497,10048,7472,9617
1996,9563,9865,8123,9718
1997,9318,9968,8352,9349
1998,9329,9959,8684,10008
1999,9432,9780,8804,10267
2000,9437,9937,9498,10987
2001,8997,9419,9607,10418
2002,8911,9177,8888,9471
2003,8721,9195,9178,9553
2004,9383,9901,9550,9754
2005,9289,9520,9797,10183
2006,8853,9453,10035,10795
2007,9081,9251,10490,11615
2008,9064,9310,9822,11279
2009,8859,9280,10204,11558
2010,8978,9262,10239,11702
2011,8726,9038,10014,11633
2012,8375,8785,9598,11721
2013,8981,9252,9806,12452
2014,8145,8400,9444,11766
2015,8611,8684,9644,11704
2016,8709,8735,9405,12189
2017,8406,8652,9080,11549
